generator,benchmark,episodes,tau_tmp,accepted_count,coverage,gate_fallback_rate,conditional_degradation_risk,selected_miou,baseline_miou,gain_over_baseline,ndr
PerSAM-F-compatible,FSS-1000,7200,0.0007892267189379765,548,0.07611111111111112,0.7602777777777778,0.44525547445255476,0.8587047035279102,0.8578307747619369,0.0008739287659732829,0.9661111111111111
PerSAM-F-compatible,FSS-1000,7200,0.0007986727975296653,555,0.07708333333333334,0.7593055555555556,0.44504504504504505,0.8587044400422665,0.8578307747619369,0.0008736652803296842,0.9656944444444444
PerSAM-F-compatible,FSS-1000,7200,0.0008123563380301618,563,0.07819444444444444,0.7581944444444444,0.44404973357015987,0.8587230322210881,0.8578307747619369,0.0008922574591512479,0.9652777777777778
PerSAM-F-compatible,FSS-1000,7200,0.0008259342281546711,570,0.07916666666666666,0.7572222222222222,0.4421052631578947,0.8587926254370702,0.8578307747619369,0.0009618506751333673,0.965
PerSAM-F-compatible,FSS-1000,7200,0.0008351384872776312,577,0.08013888888888888,0.75625,0.44194107452339687,0.8587926179616544,0.8578307747619369,0.0009618431997175016,0.9645833333333333
PerSAM-F-compatible,FSS-1000,7200,0.0008465242421465677,584,0.0811111111111111,0.7552777777777778,0.4400684931506849,0.8587928611817187,0.8578307747619369,0.0009620864197818768,0.9643055555555555
PerSAM-F-compatible,FSS-1000,7200,0.0008634740293873883,591,0.08208333333333333,0.7543055555555556,0.4365482233502538,0.858805550787074,0.8578307747619369,0.0009747760251371396,0.9641666666666666
PerSAM-F-compatible,FSS-1000,7200,0.0008722015839772757,598,0.08305555555555555,0.7533333333333333,0.4397993311036789,0.8588784569947813,0.8578307747619369,0.0010476822328443329,0.9634722222222222
PerSAM-F-compatible,FSS-1000,7200,0.0008825662955931768,606,0.08416666666666667,0.7522222222222222,0.44224422442244227,0.8588785957245919,0.8578307747619369,0.0010478209626550476,0.9627777777777777
PerSAM-F-compatible,FSS-1000,7200,0.0008964008617946673,613,0.08513888888888889,0.75125,0.44045676998368677,0.8589280710898068,0.8578307747619369,0.0010972963278699252,0.9625
PerSAM-F-compatible,FSS-1000,7200,0.0009101036082373181,620,0.08611111111111111,0.7502777777777778,0.44516129032258067,0.8589683995924619,0.8578307747619369,0.0011376248305249546,0.9616666666666667
PerSAM-F-compatible,FSS-1000,7200,0.0009358301645262591,627,0.08708333333333333,0.7493055555555556,0.44657097288676234,0.8589684085497155,0.8578307747619369,0.0011376337877785166,0.9611111111111111
PerSAM-F-compatible,FSS-1000,7200,0.0009564408174204611,634,0.08805555555555555,0.7483333333333333,0.44637223974763407,0.8589686048228435,0.8578307747619369,0.0011378300609067083,0.9606944444444444
PerSAM-F-compatible,FSS-1000,7200,0.0009677234903612967,642,0.08916666666666667,0.7472222222222222,0.4485981308411215,0.8589957838951442,0.8578307747619369,0.0011650091332073014,0.96
PerSAM-F-compatible,FSS-1000,7200,0.0009821313517989316,649,0.0901388888888889,0.74625,0.44992295839753466,0.8589958025050388,0.8578307747619369,0.001165027743101948,0.9594444444444444
PerSAM-F-compatible,FSS-1000,7200,0.0010103205092945563,656,0.09111111111111111,0.7452777777777778,0.45121951219512196,0.8589959958889974,0.8578307747619369,0.0011652211270605525,0.9588888888888889
PerSAM-F-compatible,FSS-1000,7200,0.0010266520416440928,663,0.09208333333333334,0.7443055555555556,0.45098039215686275,0.8589965062289331,0.8578307747619369,0.001165731466996173,0.9584722222222222
