fold,sample_id,obj_name,baseline_miou,original_miou,original_iter,original_non_degraded,original_fallback,original_delta_vs_baseline,original_delta_vs_original,support_fg_miou,support_fg_iter,support_fg_fallback,support_fg_non_degraded,support_fg_delta_vs_baseline,support_fg_delta_vs_original,support_decoder_fg_miou,support_decoder_fg_iter,support_decoder_fg_fallback,support_decoder_fg_non_degraded,support_decoder_fg_delta_vs_baseline,support_decoder_fg_delta_vs_original
1,fold1:734_class-7,734_class-7,0.99007797,0.95696104,5,0,0,-0.03311694,0.00000000,0.99007797,0,1,1,0.00000000,0.03311694,0.99007797,0,1,1,0.00000000,0.03311694
1,fold1:735_class-7,735_class-7,0.99538994,0.76443428,1,0,0,-0.23095566,0.00000000,0.99538994,0,1,1,0.00000000,0.23095566,0.99538994,0,1,1,0.00000000,0.23095566
1,fold1:736_class-5,736_class-5,0.55188966,0.72041452,4,1,0,0.16852486,0.00000000,0.55188966,0,1,1,0.00000000,-0.16852486,0.55188966,0,1,1,0.00000000,-0.16852486
1,fold1:737_class-6,737_class-6,0.17254426,0.17254426,0,1,0,0.00000000,0.00000000,0.17254426,0,0,1,0.00000000,0.00000000,0.17254426,0,0,1,0.00000000,0.00000000
1,fold1:738_class-7,738_class-7,0.99048167,0.94765306,2,0,0,-0.04282862,0.00000000,0.99048167,0,1,1,0.00000000,0.04282862,0.99048167,0,1,1,0.00000000,0.04282862
1,fold1:739_class-6,739_class-6,0.18197344,0.16719408,4,0,0,-0.01477936,0.00000000,0.16719408,4,0,0,-0.01477936,0.00000000,0.16719408,4,0,0,-0.01477936,0.00000000
1,fold1:740_class-8,740_class-8,0.39528593,0.39528593,0,1,0,0.00000000,0.00000000,0.39528593,0,0,1,0.00000000,0.00000000,0.39528593,0,0,1,0.00000000,0.00000000
1,fold1:741_class-5,741_class-5,0.63092971,0.63092971,0,1,0,0.00000000,0.00000000,0.63092971,0,0,1,0.00000000,0.00000000,0.63092971,0,0,1,0.00000000,0.00000000
1,fold1:742_class-7,742_class-7,0.25739488,0.23536608,5,0,0,-0.02202880,0.00000000,0.23536608,5,0,0,-0.02202880,0.00000000,0.23536608,5,0,0,-0.02202880,0.00000000
1,fold1:743_class-9,743_class-9,0.86815846,0.82977152,1,0,0,-0.03838694,0.00000000,0.82977152,1,0,0,-0.03838694,0.00000000,0.82977152,1,0,0,-0.03838694,0.00000000
1,fold1:744_class-8,744_class-8,0.47015837,0.47015837,0,1,0,0.00000000,0.00000000,0.47015837,0,0,1,0.00000000,0.00000000,0.47015837,0,0,1,0.00000000,0.00000000
1,fold1:745_class-6,745_class-6,0.40216720,0.37651530,2,0,0,-0.02565190,0.00000000,0.40216720,0,1,1,0.00000000,0.02565190,0.40216720,0,1,1,0.00000000,0.02565190
1,fold1:746_class-8,746_class-8,0.42958608,0.42958608,0,1,0,0.00000000,0.00000000,0.42958608,0,0,1,0.00000000,0.00000000,0.42958608,0,0,1,0.00000000,0.00000000
1,fold1:747_class-7,747_class-7,0.89972156,0.87183213,5,0,0,-0.02788943,0.00000000,0.89972156,0,1,1,0.00000000,0.02788943,0.89972156,0,1,1,0.00000000,0.02788943
1,fold1:748_class-6,748_class-6,0.83659041,0.89987355,5,1,0,0.06328315,0.00000000,0.89987355,5,0,1,0.06328315,0.00000000,0.89987355,5,0,1,0.06328315,0.00000000
1,fold1:749_class-8,749_class-8,0.43619210,0.39310294,1,0,0,-0.04308915,0.00000000,0.39310294,1,0,0,-0.04308915,0.00000000,0.39310294,1,0,0,-0.04308915,0.00000000
1,fold1:750_class-7,750_class-7,0.73541141,0.71318078,1,0,0,-0.02223063,0.00000000,0.71318078,1,0,0,-0.02223063,0.00000000,0.71318078,1,0,0,-0.02223063,0.00000000
1,fold1:751_class-7,751_class-7,0.62746018,0.62746018,0,1,0,0.00000000,0.00000000,0.62746018,0,0,1,0.00000000,0.00000000,0.62746018,0,0,1,0.00000000,0.00000000
1,fold1:752_class-7,752_class-7,0.99166417,0.90210009,3,0,0,-0.08956409,0.00000000,0.99166417,0,1,1,0.00000000,0.08956409,0.99166417,0,1,1,0.00000000,0.08956409
1,fold1:753_class-7,753_class-7,0.49110389,0.48043546,3,0,0,-0.01066843,0.00000000,0.49110389,0,1,1,0.00000000,0.01066843,0.49110389,0,1,1,0.00000000,0.01066843
1,fold1:754_class-8,754_class-8,0.72521710,0.60145044,5,0,0,-0.12376666,0.00000000,0.72521710,0,1,1,0.00000000,0.12376666,0.72521710,0,1,1,0.00000000,0.12376666
1,fold1:755_class-7,755_class-7,0.97505951,0.56588244,3,0,0,-0.40917706,0.00000000,0.97505951,0,1,1,0.00000000,0.40917706,0.97505951,0,1,1,0.00000000,0.40917706
1,fold1:756_class-6,756_class-6,0.86654121,0.82479674,3,0,0,-0.04174447,0.00000000,0.82479674,3,0,0,-0.04174447,0.00000000,0.82479674,3,0,0,-0.04174447,0.00000000
1,fold1:757_class-9,757_class-9,0.69266778,0.69266778,0,1,0,0.00000000,0.00000000,0.69266778,0,0,1,0.00000000,0.00000000,0.69266778,0,0,1,0.00000000,0.00000000
1,fold1:758_class-7,758_class-7,0.99467254,0.96269411,2,0,0,-0.03197843,0.00000000,0.99467254,0,1,1,0.00000000,0.03197843,0.99467254,0,1,1,0.00000000,0.03197843
1,fold1:759_class-7,759_class-7,0.99297166,0.58125579,4,0,0,-0.41171587,0.00000000,0.99297166,0,1,1,0.00000000,0.41171587,0.99297166,0,1,1,0.00000000,0.41171587
1,fold1:760_class-7,760_class-7,0.99817622,0.96358633,4,0,0,-0.03458989,0.00000000,0.96358633,4,0,0,-0.03458989,0.00000000,0.96358633,4,0,0,-0.03458989,0.00000000
1,fold1:761_class-5,761_class-5,0.71402812,0.68673813,4,0,0,-0.02728999,0.00000000,0.68673813,4,0,0,-0.02728999,0.00000000,0.68673813,4,0,0,-0.02728999,0.00000000
1,fold1:762_class-8,762_class-8,0.65133208,0.86001515,3,1,0,0.20868307,0.00000000,0.65133208,0,1,1,0.00000000,-0.20868307,0.65133208,0,1,1,0.00000000,-0.20868307
