generator,benchmark,num_episodes,threshold,accepted_count,coverage,degradation_count,conditional_degradation_risk,conditional_excess_miou_loss,conditional_mean_delta_miou,mean_baseline_miou,overall_selected_miou,overall_gain_over_baseline,overall_ndr,baseline_output_rate,gate_fallback_rate,maximum_refinement_coverage,is_default_tau,is_original_endpoint
Matcher,FSS-1000,2400,-0.0028589963912963867,1600,0.6666666666666666,639,0.399375,0.004386803857050836,0.032945950330758936,0.884484056958269,0.9064480238454417,0.02196396688717262,0.73375,0.33333333333333337,0.165,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0028766989707946777,1601,0.6670833333333334,640,0.3997501561524047,0.004384264819961574,0.03292517097047917,0.884484056958269,0.9064478897598262,0.021963832801557146,0.7333333333333334,0.33291666666666664,0.16458333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0028821229934692383,1602,0.6675,640,0.3995006242197253,0.004381528075379826,0.03290501244502205,0.884484056958269,0.9064481527653212,0.021964095807052216,0.7333333333333334,0.3325,0.16416666666666666,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002896428108215332,1603,0.6679166666666667,640,0.39925140361821587,0.004378794745326563,0.03288648724329384,0.884484056958269,0.9064494898961857,0.02196543293791668,0.7333333333333334,0.3320833333333333,0.16375,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0029038190841674805,1604,0.6683333333333333,640,0.39900249376558605,0.004376064823415511,0.03286707821328825,0.884484056958269,0.9064502208974834,0.02196616393921431,0.7333333333333334,0.33166666666666667,0.16333333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0029039382934570312,1605,0.66875,640,0.3987538940809969,0.004373338303276311,0.032846762199604716,0.884484056958269,0.9064503291792547,0.021966272220985652,0.7333333333333334,0.33125000000000004,0.16291666666666665,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0029060840606689453,1606,0.6691666666666667,640,0.398505603985056,0.004370615178554471,0.03282896486043717,0.884484056958269,0.9064521059440449,0.02196804898577587,0.7333333333333334,0.3308333333333333,0.1625,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.00291520357131958,1607,0.6695833333333333,641,0.3988799004355943,0.004368437040312066,0.03280799453568082,0.884484056958269,0.906451743299452,0.02196768634118295,0.7329166666666667,0.3304166666666667,0.16208333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002927064895629883,1608,0.67,641,0.3986318407960199,0.004365720350610379,0.03280428634054115,0.884484056958269,0.9064629288064316,0.021978871848162575,0.7329166666666667,0.32999999999999996,0.16166666666666665,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002935647964477539,1609,0.6704166666666667,641,0.3983840894965817,0.004363007037775942,0.03278619547520988,0.884484056958269,0.9064644688414409,0.021980411883171957,0.7329166666666667,0.32958333333333334,0.16125,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0029414892196655273,1610,0.6708333333333333,641,0.3981366459627329,0.004360297095516453,0.03276978257424574,0.884484056958269,0.9064671194351589,0.02198306247688985,0.7329166666666667,0.3291666666666667,0.16083333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002945244312286377,1611,0.67125,641,0.3978895096213532,0.004357590517555239,0.032750142687639136,0.884484056958269,0.9064675902373468,0.02198353327907777,0.7329166666666667,0.32875,0.16041666666666668,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0029483437538146973,1612,0.6716666666666666,642,0.39826302729528534,0.004554769662081752,0.032529943857501464,0.884484056958269,0.9063333359158908,0.021849278957621815,0.7324999999999999,0.32833333333333337,0.16,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0029619336128234863,1613,0.6720833333333334,643,0.3986360818350899,0.004554542094487547,0.0325071802821821,0.884484056958269,0.9063315910395856,0.021847534081316553,0.7320833333333333,0.32791666666666663,0.15958333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0029748082160949707,1614,0.6725,644,0.3990086741016109,0.004551729577440016,0.03248703014596032,0.884484056958269,0.9063315847314274,0.021847527773158314,0.7316666666666667,0.3275,0.15916666666666668,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002981424331665039,1615,0.6729166666666667,645,0.3993808049535604,0.004549197271327854,0.032466628235525485,0.884484056958269,0.9063313922084247,0.02184733525015569,0.73125,0.3270833333333333,0.15875,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002987384796142578,1616,0.6733333333333333,646,0.3997524752475248,0.004548242421691665,0.032444677252546045,0.884484056958269,0.90633013964165,0.021846082683381004,0.7308333333333333,0.32666666666666666,0.15833333333333333,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002991020679473877,1617,0.67375,647,0.40012368583797153,0.004546024670148235,0.032424017502744866,0.884484056958269,0.9063297387507434,0.021845681792474352,0.7304166666666667,0.32625000000000004,0.15791666666666668,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.002991318702697754,1618,0.6741666666666667,648,0.4004944375772559,0.004543320260877515,0.03240387268941182,0.884484056958269,0.9063296677963808,0.0218456108381118,0.73,0.3258333333333333,0.1575,0.8316666666666667,0,0
Matcher,FSS-1000,2400,-0.0029928088188171387,1619,0.6745833333333333,649,0.40086473131562694,0.004540525680526382,0.03238384627349965,0.884484056958269,0.9063296599236007,0.021845602965331636,0.7295833333333333,0.3254166666666667,0.15708333333333332,0.8316666666666667,0,0
