obj_name,original_iter,original_miou,baseline_miou_original,oracle_miou_original,guarded_iter,guarded_miou,baseline_miou_guarded,oracle_miou_guarded,guarded_delta_vs_original,original_delta_vs_baseline,guarded_delta_vs_baseline,original_non_degraded,guarded_non_degraded,ndr_transition,benchmark,fallback_applied_x,fallback_applied_y,ndr_delta
251_class-8,3,0.9012031555,0.9007930756,0.9025644660,3,0.9012031555,0.9007930756,0.9025644660,0.0000000000,0.0004100800,0.0004100800,1,1,,COCO-20i,False,False,0.0000000000
252_class-56,0,0.8877960443,0.8877960443,0.8882340193,0,0.8877960443,0.8877960443,0.8882340193,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
253_class-72,2,0.4649690092,0.4506016076,0.5464875102,0,0.4506016076,0.4506016076,0.5464875102,-0.0143674016,0.0143674016,0.0000000000,1,1,,COCO-20i,False,True,0.0000000000
254_class-64,1,0.6023622155,0.5831141472,0.6023622155,1,0.6023622155,0.5831141472,0.6023622155,0.0000000000,0.0192480683,0.0192480683,1,1,,COCO-20i,False,False,0.0000000000
255_class-20,0,0.9611020088,0.9611020088,0.9624853134,0,0.9611020088,0.9611020088,0.9624853134,0.0000000000,0.0000000000,0.0000000000,1,1,,COCO-20i,False,False,0.0000000000
256_class-32,2,0.9279497266,0.7708657384,0.9326907396,2,0.9279497266,0.7708657384,0.9326907396,0.0000000000,0.1570839882,0.1570839882,1,1,,COCO-20i,False,False,0.0000000000
257_class-48,2,0.5318405628,0.5695878267,0.9067201614,0,0.5695878267,0.5695878267,0.9067201614,0.0377472639,-0.0377472639,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
258_class-68,4,0.4495856166,0.4695947766,0.5177961588,4,0.4495856166,0.4695947766,0.5177961588,0.0000000000,-0.0200091600,-0.0200091600,0,0,,COCO-20i,False,False,0.0000000000
259_class-64,2,0.9811944962,0.9812857509,0.9820660353,2,0.9811944962,0.9812857509,0.9820660353,0.0000000000,-0.0000912547,-0.0000912547,0,0,,COCO-20i,False,False,0.0000000000
260_class-52,2,0.7838394642,0.7119851708,0.7854946852,2,0.7838394642,0.7119851708,0.7854946852,0.0000000000,0.0718542933,0.0718542933,1,1,,COCO-20i,False,False,0.0000000000
261_class-8,4,0.4899005294,0.4969873130,0.5784529448,0,0.4969873130,0.4969873130,0.5784529448,0.0070867836,-0.0070867836,0.0000000000,0,1,,COCO-20i,False,True,1.0000000000
