benchmark,seed,fold,method,obj_name,baseline_miou,selected_miou,selected_iter,fallback,non_degraded,oracle_miou
FSS-1000,42,0,original,138_class-773,0.9769117236,0.9769117236,0,0,1,0.9769117236
FSS-1000,42,0,original,139_class-773,0.6562535763,0.6562535763,0,0,1,0.7025256157
FSS-1000,42,0,original,140_class-774,0.9880410433,0.9880293608,3,0,0,0.9880410433
FSS-1000,42,0,original,141_class-774,0.7932736874,0.7932745218,2,0,1,0.7935326695
FSS-1000,42,0,original,142_class-774,0.9896311164,0.9896311164,0,0,1,0.9899104238
FSS-1000,42,0,original,143_class-774,0.9816855192,0.9812714458,3,0,0,0.9816855192
FSS-1000,42,0,original,144_class-774,0.8203756809,0.8962751627,5,0,1,0.8962751627
FSS-1000,42,0,original,145_class-774,0.9564909935,0.9565389752,5,0,1,0.9569637775
FSS-1000,42,0,original,146_class-774,0.9834706783,0.9839590192,4,0,1,0.9839590192
FSS-1000,42,0,original,147_class-774,0.7348070741,0.9809718132,4,0,1,0.9809718132
FSS-1000,42,0,original,148_class-774,0.9750636816,0.9756457806,3,0,1,0.9756488800
FSS-1000,42,0,original,149_class-774,0.8547906280,0.9004684091,5,0,1,0.9098829031
FSS-1000,42,0,original,150_class-775,0.9833204746,0.9833039045,3,0,0,0.9833204746
FSS-1000,42,0,original,151_class-775,0.9798852205,0.9786943793,5,0,0,0.9800831079
FSS-1000,42,0,original,152_class-775,0.9428899288,0.9399167299,3,0,0,0.9435217381
FSS-1000,42,0,original,153_class-775,0.0138694262,0.9807789922,4,0,1,0.9809416533
FSS-1000,42,0,original,154_class-775,0.9847086668,0.9847086668,0,0,1,0.9864125252
FSS-1000,42,0,original,155_class-775,0.9492483139,0.9492250681,4,0,0,0.9492937326
FSS-1000,42,0,original,156_class-775,0.9695973396,0.9695049524,3,0,0,0.9696690440
FSS-1000,42,0,original,157_class-775,0.9783716202,0.9782681465,1,0,0,0.9788212776
FSS-1000,42,0,original,158_class-775,0.9747273922,0.9750444293,2,0,1,0.9750444293
FSS-1000,42,0,original,159_class-775,0.9483454227,0.6449227333,5,0,0,0.9483454227
FSS-1000,42,0,original,160_class-776,0.9717566967,0.9721444845,4,0,1,0.9721444845
FSS-1000,42,0,original,161_class-776,0.6077789068,0.6077218056,2,0,0,0.9841417074
FSS-1000,42,0,original,162_class-776,0.9830545187,0.9858045578,2,0,1,0.9858045578
FSS-1000,42,0,original,163_class-776,0.9833546877,0.9832905531,1,0,0,0.9833546877
FSS-1000,42,0,original,164_class-776,0.7967095971,0.9150071144,5,0,1,0.9150071144
FSS-1000,42,0,original,165_class-776,0.9698868990,0.9698868990,0,0,1,0.9700493813
FSS-1000,42,0,original,166_class-776,0.9875526428,0.9875526428,0,0,1,0.9875526428
FSS-1000,42,0,original,167_class-776,0.9850348830,0.9848146439,1,0,0,0.9850348830
FSS-1000,42,0,original,168_class-776,0.9751710892,0.5829409361,4,0,0,0.9751937389
FSS-1000,42,0,original,169_class-776,0.9893069267,0.9893069267,0,0,1,0.9896027446
FSS-1000,42,0,original,170_class-777,0.8384811878,0.6467080712,2,0,0,0.8523389697
FSS-1000,42,0,original,171_class-777,0.9829584956,0.9827906489,4,0,0,0.9829584956
FSS-1000,42,0,original,172_class-777,0.0953629240,0.4318521619,5,0,1,0.4334819317
FSS-1000,42,0,original,173_class-777,0.6824460030,0.6838155985,1,0,1,0.7651408911
FSS-1000,42,0,original,174_class-777,0.9730119705,0.9699042439,5,0,0,0.9731430411
FSS-1000,42,0,original,175_class-777,0.4137568176,0.4137568176,0,0,1,0.4137568176
FSS-1000,42,0,original,176_class-777,0.5434891582,0.5434891582,0,0,1,0.9381067157
