generator,benchmark,seed,fold,obj_name,proposal_iter,proposal_nonbaseline,baseline_miou,proposal_miou,proposal_delta_miou,support_margin,foreground_margin,gate_margin,proposal_degraded,source_file
PerSAM-F-compatible,FSS-1000,44,0,550_class-815,3,1,0.8527678847312927,0.9412374496459961,0.08846956491470337,0.011059999465942383,0.003936409950256348,0.003936409950256348,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,551_class-815,0,0,0.9738490581512451,0.9738490581512451,0.0,nan,nan,nan,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,552_class-815,3,1,0.9716281890869141,0.9690031409263611,-0.0026250481605529785,0.00019919872283935547,0.0029210448265075684,0.00019919872283935547,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,553_class-815,4,1,0.8448543548583984,0.8449868559837341,0.00013250112533569336,-6.079673767089844e-05,0.0010367035865783691,-6.079673767089844e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,554_class-815,2,1,0.751484751701355,0.7519974708557129,0.0005127191543579102,-6.198883056640625e-06,0.0006349682807922363,-6.198883056640625e-06,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,555_class-815,3,1,0.9643169641494751,0.9648230075836182,0.0005060434341430664,-6.0677528381347656e-05,0.0042528510093688965,-6.0677528381347656e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,556_class-815,4,1,0.9552479982376099,0.9558407068252563,0.0005927085876464844,0.0015580058097839355,0.0016448497772216797,0.0015580058097839355,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,557_class-815,1,1,0.9533343315124512,0.953554630279541,0.00022029876708984375,5.602836608886719e-06,0.0008962154388427734,5.602836608886719e-06,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,558_class-815,1,1,0.9606640338897705,0.9633564352989197,0.00269240140914917,-0.0007038712501525879,0.008490562438964844,-0.0007038712501525879,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,559_class-815,5,1,0.700065016746521,0.9511467814445496,0.25108176469802856,-0.0015456080436706543,0.040733933448791504,-0.0015456080436706543,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,560_class-816,0,0,0.9460629820823669,0.9460629820823669,0.0,nan,nan,nan,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,561_class-816,3,1,0.9764502048492432,0.8319387435913086,-0.14451146125793457,0.005112051963806152,-0.004643738269805908,-0.004643738269805908,1,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,562_class-816,0,0,0.5445377826690674,0.5445377826690674,0.0,nan,nan,nan,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,563_class-816,2,1,0.9734649658203125,0.9744112491607666,0.0009462833404541016,-0.0001817941665649414,0.006138861179351807,-0.0001817941665649414,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,564_class-816,1,1,0.9220165610313416,0.9221521615982056,0.00013560056686401367,0.00019299983978271484,-2.6524066925048828e-05,-2.6524066925048828e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,565_class-816,1,1,0.946937084197998,0.9473145008087158,0.00037741661071777344,0.00018012523651123047,3.2067298889160156e-05,3.2067298889160156e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,566_class-816,2,1,0.9544885158538818,0.9545644521713257,7.593631744384766e-05,0.0008713603019714355,-0.00014913082122802734,-0.00014913082122802734,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,567_class-816,1,1,0.9635846614837646,0.9638057947158813,0.00022113323211669922,-1.5735626220703125e-05,0.0001074075698852539,-1.5735626220703125e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,568_class-816,1,1,0.35589516162872314,0.35590389370918274,8.732080459594727e-06,0.0002346634864807129,-1.1146068572998047e-05,-1.1146068572998047e-05,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
PerSAM-F-compatible,FSS-1000,44,0,569_class-816,0,0,0.7305640578269958,0.7305640578269958,0.0,nan,nan,nan,0,E:\PR-MaGIC-main\PR-MaGIC-main\results\multicriteria\fss_f0_s44_full\0\csvs\selector_original_candidates.csv
