sample_id,seed,obj_name,baseline_miou,original_miou,support_fg_miou,original_iter,support_fg_iter,support_fg_fallback,original_non_degraded,support_fg_non_degraded,delta_support_fg_vs_original,delta_original_vs_baseline,delta_support_fg_vs_baseline
seed43:264_class-68,43,264_class-68,0.39866471,0.35911989,0.39866471,5,0,1,0,1,0.03954482,-0.03954482,0.00000000
seed43:265_class-24,43,265_class-24,0.43616676,0.48811883,0.48811883,4,4,0,1,1,0.00000000,0.05195206,0.05195206
seed43:266_class-20,43,266_class-20,0.63867593,0.63867593,0.63867593,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed43:267_class-12,43,267_class-12,0.96258205,0.96272171,0.96272171,3,3,0,1,1,0.00000000,0.00013965,0.00013965
seed43:268_class-56,43,268_class-56,0.46199185,0.45565623,0.46199185,2,0,1,0,1,0.00633562,-0.00633562,0.00000000
seed43:269_class-52,43,269_class-52,0.35789737,0.34308761,0.34308761,5,5,0,0,0,0.00000000,-0.01480976,-0.01480976
seed43:270_class-4,43,270_class-4,0.45391560,0.63210702,0.63210702,2,2,0,1,1,0.00000000,0.17819142,0.17819142
seed43:271_class-72,43,271_class-72,0.91604686,0.91604686,0.91604686,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed43:272_class-16,43,272_class-16,0.92604393,0.93052030,0.93052030,3,3,0,1,1,0.00000000,0.00447637,0.00447637
seed43:273_class-40,43,273_class-40,0.53221059,0.59667730,0.59667730,5,5,0,1,1,0.00000000,0.06446671,0.06446671
seed43:274_class-48,43,274_class-48,0.41359511,0.43914810,0.43914810,1,1,0,1,1,0.00000000,0.02555299,0.02555299
seed43:275_class-16,43,275_class-16,0.84540427,0.92429227,0.84540427,5,0,1,1,1,-0.07888800,0.07888800,0.00000000
seed43:276_class-20,43,276_class-20,0.84497511,0.84497511,0.84497511,0,0,0,1,1,0.00000000,0.00000000,0.00000000
seed43:277_class-44,43,277_class-44,0.64615434,0.65668893,0.64615434,1,0,1,1,1,-0.01053458,0.01053458,0.00000000
