fold,sample_id,obj_name,baseline_miou,original_miou,original_iter,original_non_degraded,support_fg_miou,support_fg_iter,support_fg_fallback,support_fg_non_degraded,support_fg_delta_vs_original,support_fg_delta_vs_baseline,support_fg_ndr_delta_vs_original,support_decoder_fg_miou,support_decoder_fg_iter,support_decoder_fg_fallback,support_decoder_fg_non_degraded,support_decoder_fg_delta_vs_original,support_decoder_fg_delta_vs_baseline,support_decoder_fg_ndr_delta_vs_original
0,fold0:158_class-2,158_class-2,0.65062785,0.65062785,0,1,0.65062785,0,0,1,0.00000000,0.00000000,0,0.65062785,0,0,1,0.00000000,0.00000000,0
0,fold0:159_class-1,159_class-1,0.81081438,0.83591676,5,1,0.83591676,5,0,1,0.00000000,0.02510238,0,0.83591676,5,0,1,0.00000000,0.02510238,0
0,fold0:160_class-2,160_class-2,0.99810660,0.93191624,5,0,0.99810660,0,1,1,0.06619036,0.00000000,1,0.99810660,0,1,1,0.06619036,0.00000000,1
0,fold0:161_class-4,161_class-4,0.73114169,0.79290676,1,1,0.79290676,1,0,1,0.00000000,0.06176507,0,0.79290676,1,0,1,0.00000000,0.06176507,0
0,fold0:162_class-0,162_class-0,0.99768162,0.95319176,5,0,0.95319176,5,0,0,0.00000000,-0.04448986,0,0.95319176,5,0,0,0.00000000,-0.04448986,0
0,fold0:163_class-0,163_class-0,0.99569809,0.94923633,2,0,0.94923633,2,0,0,0.00000000,-0.04646176,0,0.94923633,2,0,0,0.00000000,-0.04646176,0
0,fold0:164_class-3,164_class-3,0.80547750,0.80547750,0,1,0.80547750,0,0,1,0.00000000,0.00000000,0,0.80547750,0,0,1,0.00000000,0.00000000,0
0,fold0:165_class-4,165_class-4,0.38195628,0.36823887,3,0,0.36823887,3,0,0,0.00000000,-0.01371741,0,0.36823887,3,0,0,0.00000000,-0.01371741,0
0,fold0:166_class-1,166_class-1,0.60058725,0.53314668,1,0,0.53314668,1,0,0,0.00000000,-0.06744057,0,0.53314668,1,0,0,0.00000000,-0.06744057,0
0,fold0:167_class-0,167_class-0,0.99912316,0.90771222,5,0,0.90771222,5,0,0,0.00000000,-0.09141093,0,0.90771222,5,0,0,0.00000000,-0.09141093,0
0,fold0:168_class-4,168_class-4,0.40560964,0.42219079,5,1,0.40560964,0,1,1,-0.01658115,0.00000000,0,0.40560964,0,1,1,-0.01658115,0.00000000,0
0,fold0:169_class-4,169_class-4,0.65832639,0.95872718,3,1,0.65832639,0,1,1,-0.30040079,0.00000000,0,0.65832639,0,1,1,-0.30040079,0.00000000,0
0,fold0:170_class-4,170_class-4,0.74536079,0.90405560,4,1,0.90405560,4,0,1,0.00000000,0.15869480,0,0.90405560,4,0,1,0.00000000,0.15869480,0
0,fold0:171_class-2,171_class-2,0.99941862,0.88901961,4,0,0.88901961,4,0,0,0.00000000,-0.11039901,0,0.88901961,4,0,0,0.00000000,-0.11039901,0
0,fold0:172_class-4,172_class-4,0.99462438,0.71959913,1,0,0.71959913,1,0,0,0.00000000,-0.27502525,0,0.71959913,1,0,0,0.00000000,-0.27502525,0
0,fold0:173_class-3,173_class-3,0.60575384,0.45576704,1,0,0.60575384,0,1,1,0.14998680,0.00000000,1,0.60575384,0,1,1,0.14998680,0.00000000,1
0,fold0:174_class-4,174_class-4,0.31058693,0.48185721,5,1,0.48185721,5,0,1,0.00000000,0.17127028,0,0.48185721,5,0,1,0.00000000,0.17127028,0
0,fold0:175_class-4,175_class-4,0.89184445,0.89184445,0,1,0.89184445,0,0,1,0.00000000,0.00000000,0,0.89184445,0,0,1,0.00000000,0.00000000,0
0,fold0:176_class-0,176_class-0,0.99862003,0.94940645,5,0,0.99862003,0,1,1,0.04921359,0.00000000,1,0.99862003,0,1,1,0.04921359,0.00000000,1
0,fold0:177_class-4,177_class-4,0.61338419,0.23814908,1,0,0.61338419,0,1,1,0.37523511,0.00000000,1,0.61338419,0,1,1,0.37523511,0.00000000,1
0,fold0:178_class-0,178_class-0,0.05326097,0.74603438,1,1,0.74603438,1,0,1,0.00000000,0.69277341,0,0.05326097,0,1,1,-0.69277341,0.00000000,0
0,fold0:179_class-1,179_class-1,0.62544060,0.62544060,0,1,0.62544060,0,0,1,0.00000000,0.00000000,0,0.62544060,0,0,1,0.00000000,0.00000000,0
0,fold0:180_class-4,180_class-4,0.42881334,0.43358433,3,1,0.43358433,3,0,1,0.00000000,0.00477099,0,0.43358433,3,0,1,0.00000000,0.00477099,0
0,fold0:181_class-0,181_class-0,0.97596180,0.90469682,4,0,0.90469682,4,0,0,0.00000000,-0.07126498,0,0.90469682,4,0,0,0.00000000,-0.07126498,0
0,fold0:182_class-3,182_class-3,0.95762628,0.95762628,0,1,0.95762628,0,0,1,0.00000000,0.00000000,0,0.95762628,0,0,1,0.00000000,0.00000000,0
0,fold0:183_class-3,183_class-3,0.99839532,0.90092182,4,0,0.99839532,0,1,1,0.09747350,0.00000000,1,0.99839532,0,1,1,0.09747350,0.00000000,1
0,fold0:184_class-1,184_class-1,0.61007047,0.53357154,5,0,0.61007047,0,1,1,0.07649893,0.00000000,1,0.61007047,0,1,1,0.07649893,0.00000000,1
0,fold0:185_class-1,185_class-1,0.80066812,0.80066812,0,1,0.80066812,0,0,1,0.00000000,0.00000000,0,0.80066812,0,0,1,0.00000000,0.00000000,0
0,fold0:186_class-4,186_class-4,0.43375039,0.31910938,5,0,0.43375039,0,1,1,0.11464101,0.00000000,1,0.43375039,0,1,1,0.11464101,0.00000000,1
0,fold0:187_class-2,187_class-2,0.96901768,0.92738175,1,0,0.92738175,1,0,0,0.00000000,-0.04163593,0,0.96901768,0,1,1,0.04163593,0.00000000,1
